CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Actual,Predicted
1000.0,3,9,3074.44,3,2,3,8,Medium Value,1,1
1001.0,1,9,2522.52,4,2,3,9,Medium Value,1,0
1002.0,2,10,2007.9299999999998,3,3,2,8,Medium Value,1,0
1003.0,5,8,1328.22,2,1,1,4,Low Value,0,0
1004.0,8,13,4113.59,1,4,4,9,Medium Value,1,1
1005.0,3,10,3046.1,3,3,3,9,Medium Value,1,1
1006.0,5,9,3401.11,2,2,4,8,Medium Value,1,1
1007.0,0,8,1682.8300000000002,4,1,1,6,Medium Value,0,0
1008.0,1,12,4796.76,4,4,4,12,High Value,1,1
1009.0,6,8,2396.93,2,1,3,6,Medium Value,0,0
1010.0,0,13,4168.92,4,4,4,12,High Value,1,1
1011.0,3,10,2096.79,3,3,2,8,Medium Value,1,0
1012.0,4,10,1890.22,2,3,2,7,Medium Value,0,0
1013.0,6,9,3496.96,2,2,4,8,Medium Value,1,1
1014.0,2,11,2775.84,3,3,3,9,Medium Value,1,1
1015.0,16,4,1305.31,1,1,1,3,Low Value,0,0
1016.0,0,14,2356.04,4,4,2,10,High Value,1,0
1017.0,1,9,3186.09,4,2,3,9,Medium Value,1,1
1018.0,3,7,2031.25,3,1,2,6,Medium Value,0,0
1019.0,0,11,2921.4700000000003,4,3,3,10,High Value,1,1
1020.0,1,7,1424.18,4,1,1,6,Medium Value,0,0
1021.0,4,9,2484.02,2,2,3,7,Medium Value,0,0
1022.0,8,6,1242.55,1,1,1,3,Low Value,0,0
1023.0,2,9,3455.52,3,2,4,9,Medium Value,1,1
1024.0,2,15,3809.6600000000003,3,4,4,11,High Value,1,1
1025.0,5,13,2753.54,2,4,3,9,Medium Value,1,1
1026.0,2,10,1738.09,3,3,1,7,Medium Value,0,0
1027.0,7,3,498.71999999999997,1,1,1,3,Low Value,0,0
1028.0,4,18,4131.36,2,4,4,10,High Value,1,1
1029.0,7,9,1559.05,1,2,1,4,Low Value,0,0
1030.0,8,7,2012.78,1,1,2,4,Low Value,0,0
1031.0,0,11,2725.56,4,3,3,10,High Value,1,1
1032.0,0,10,2206.21,4,3,2,9,Medium Value,1,0
1033.0,3,7,2123.88,3,1,2,6,Medium Value,0,0
1034.0,3,9,3701.48,3,2,4,9,Medium Value,1,1
1035.0,5,10,3721.64,2,3,4,9,Medium Value,1,1
1036.0,6,11,3564.79,2,3,4,9,Medium Value,1,1
1037.0,0,15,4278.82,4,4,4,12,High Value,1,1
1038.0,4,10,2001.03,2,3,2,7,Medium Value,0,0
1039.0,9,17,4502.16,1,4,4,9,Medium Value,1,1
1040.0,0,7,1557.67,4,1,1,6,Medium Value,0,0
1041.0,8,9,2386.1299999999997,1,2,3,6,Medium Value,0,0
1042.0,13,6,2133.21,1,1,2,4,Low Value,0,0
1043.0,2,6,885.06,3,1,1,5,Low Value,0,0
1044.0,0,10,1465.59,4,3,1,8,Medium Value,1,0
1045.0,0,12,2290.0,4,4,2,10,High Value,1,0
1046.0,4,13,3213.02,2,4,4,10,High Value,1,1
1047.0,1,7,1803.0500000000002,4,1,2,7,Medium Value,0,0
1048.0,12,10,2665.44,1,3,3,7,Medium Value,0,1
1049.0,2,5,1314.07,3,1,1,5,Low Value,0,0
1050.0,0,14,3677.23,4,4,4,12,High Value,1,1
1051.0,5,4,1621.65,2,1,1,4,Low Value,0,0
1052.0,2,11,2597.32,3,3,3,9,Medium Value,1,1
1053.0,0,10,2601.32,4,3,3,10,High Value,1,1
1054.0,16,10,2129.8399999999997,1,3,2,6,Medium Value,0,0
1055.0,4,9,2276.3900000000003,2,2,2,6,Medium Value,0,0
1056.0,3,9,2097.37,3,2,2,7,Medium Value,0,0
1057.0,3,5,1099.23,3,1,1,5,Low Value,0,0
1058.0,3,15,3823.84,3,4,4,11,High Value,1,1
1059.0,1,13,4178.26,4,4,4,12,High Value,1,1
1060.0,3,5,1679.77,3,1,1,5,Low Value,0,0
1061.0,10,16,4346.09,1,4,4,9,Medium Value,1,1
1062.0,1,12,3422.09,4,4,4,12,High Value,1,1
1063.0,1,12,2865.93,4,4,3,11,High Value,1,1
1064.0,6,5,1454.1299999999999,2,1,1,4,Low Value,0,0
1065.0,7,9,2360.82,1,2,2,5,Low Value,0,0
1066.0,4,8,3084.8900000000003,2,1,3,6,Medium Value,0,1
1067.0,6,9,2797.22,2,2,3,7,Medium Value,0,1
1068.0,3,6,2038.72,3,1,2,6,Medium Value,0,0
1069.0,7,9,1768.86,1,2,1,4,Low Value,0,0
1070.0,1,9,2060.62,4,2,2,8,Medium Value,1,0
1071.0,1,13,2383.95,4,4,3,11,High Value,1,0
1072.0,11,8,2781.65,1,1,3,5,Low Value,0,1
1073.0,7,8,1838.35,1,1,2,4,Low Value,0,0
1074.0,4,10,3213.5299999999997,2,3,4,9,Medium Value,1,1
1075.0,0,8,1594.72,4,1,1,6,Medium Value,0,0
1076.0,1,7,1744.12,4,1,1,6,Medium Value,0,0
1077.0,1,9,1760.22,4,2,1,7,Medium Value,0,0
1078.0,0,10,4382.41,4,3,4,11,High Value,1,1
1079.0,0,6,1587.44,4,1,1,6,Medium Value,0,0
1080.0,1,10,2225.29,4,3,2,9,Medium Value,1,0
1081.0,1,11,2638.04,4,3,3,10,High Value,1,1
1082.0,7,6,1776.51,1,1,1,3,Low Value,0,0
1083.0,1,8,2072.2,4,1,2,7,Medium Value,0,0
1084.0,17,8,2669.13,1,1,3,5,Low Value,0,1
1085.0,0,9,2229.86,4,2,2,8,Medium Value,1,0
1086.0,5,13,3251.9,2,4,4,10,High Value,1,1
1087.0,0,12,3033.4100000000003,4,4,3,11,High Value,1,1
1088.0,0,8,2379.0,4,1,3,8,Medium Value,1,0
1089.0,6,9,2217.82,2,2,2,6,Medium Value,0,0
1090.0,6,5,1391.95,2,1,1,4,Low Value,0,0
1091.0,0,11,3689.1800000000003,4,3,4,11,High Value,1,1
1092.0,2,11,2291.58,3,3,2,8,Medium Value,1,0
1093.0,2,13,3347.44,3,4,4,11,High Value,1,1
1094.0,0,9,2786.87,4,2,3,9,Medium Value,1,1
1095.0,6,7,1794.8,2,1,1,4,Low Value,0,0
1096.0,9,10,2504.97,1,3,3,7,Medium Value,0,0
1097.0,5,16,3734.6200000000003,2,4,4,10,High Value,1,1
1098.0,4,12,2330.77,2,4,2,8,Medium Value,1,0
1099.0,1,8,1695.33,4,1,1,6,Medium Value,0,0
